,test_loss,test_rouge1,test_rouge2,test_rougeL,test_rougeLsum,test_bert_score_precision,test_bert_score_recall,test_bert_score_f1,test_gen_len,test_runtime,test_samples_per_second,test_steps_per_second
en_XX,1.7237106561660767,36.9098,13.9169,27.7818,27.8784,75.7593,77.5899,76.6245,41.4558,3806.7366,3.017,0.377
es_XX,2.148480176925659,31.8336,11.6113,22.8031,23.2832,72.4647,72.0434,72.1847,46.878,2014.271,2.335,0.292
ru_RU,1.7304913997650146,9.9308,2.7699,9.7545,9.7913,71.6688,73.2652,72.3978,65.4645,4205.0623,1.825,0.228
en_XX_zero_es_XX,3.3441946506500244,15.1858,3.6544,11.0326,11.2603,60.0687,65.5353,62.3609,183.2124,8691.514,0.541,0.068
en_XX_zero_ru_RU,3.0184178352355957,3.6877,1.0497,3.6339,3.636,66.0211,67.7365,66.6592,111.8131,10958.5836,0.7,0.088
en_XX_tuned_es_XX_10,3.0497100353240967,16.574,4.2783,11.8821,12.154,60.1723,65.7846,62.5366,190.6137,8469.4372,0.555,0.069
en_XX_tuned_es_XX_100,2.833320140838623,18.5703,5.2682,13.1433,13.4692,60.5403,66.4616,63.0436,189.2844,8596.9015,0.547,0.068
en_XX_tuned_es_XX_1000,2.4734556674957275,28.5865,9.0198,19.7453,20.3374,69.5247,71.088,70.2138,66.6086,3093.8947,1.52,0.19
en_XX_tuned_es_XX_10000,2.2289059162139893,30.6695,10.7349,21.7212,22.2758,70.966,72.0689,71.4195,60.0162,2661.1729,1.768,0.221
en_XX_tuned_ru_RU_10,2.9136695861816406,4.1172,1.1392,4.0715,4.0693,66.3514,68.4289,67.1579,114.0143,10736.7476,0.715,0.089
en_XX_tuned_ru_RU_100,2.77362060546875,3.8369,1.0235,3.7841,3.7807,63.1001,67.2281,64.8323,164.2444,12952.1884,0.592,0.074
en_XX_tuned_ru_RU_1000,2.4090158939361572,4.9031,1.2861,4.8198,4.8265,69.2309,71.36,70.1925,87.0356,7133.3691,1.076,0.135
en_XX_tuned_ru_RU_10000,1.8901759386062622,9.0519,2.2447,8.9773,8.996,68.5638,72.8331,70.5771,95.7588,5529.3931,1.388,0.174
en_XX_tuned_es_XX,2.1050796508789062,32.239,12.0885,23.1646,23.6782,72.0122,72.3929,72.1166,55.425,2598.8025,1.81,0.226
en_XX_tuned_ru_RU,1.7172654867172241,9.8858,2.8508,9.7901,9.8176,73.8576,73.0558,73.3804,48.8688,3035.9758,2.527,0.316
multilingual_en_XX,1.713496208190918,37.1762,14.1996,28.0534,28.1563,75.9241,77.7254,76.7762,41.2917,3240.0924,3.544,0.443
multilingual_es_XX,2.0877487659454346,32.6903,12.2175,23.3415,23.9205,72.518,72.5805,72.4794,49.7387,2003.9264,2.347,0.293
multilingual_ru_RU,1.6836254596710205,10.5191,3.0395,10.375,10.4062,72.284,73.7438,72.9511,61.8406,3293.6865,2.33,0.291
