,test_loss,test_rouge1,test_rouge2,test_rougeL,test_rougeLsum,test_bert_score_precision,test_bert_score_recall,test_bert_score_f1,test_gen_len,test_runtime,test_samples_per_second,test_steps_per_second
en_XX,1.7237106561660767,36.8014,13.5851,27.6646,27.7657,75.7593,77.5899,76.6245,41.4558,3284.9007,3.496,0.437
es_XX,2.148480176925659,31.9021,10.6666,22.9185,23.4039,72.4647,72.0434,72.1847,46.878,1940.8345,2.424,0.303
ru_RU,1.7304913997650146,30.4037,11.6668,22.8982,24.2753,71.6688,73.2652,72.3978,65.4645,3833.6956,2.001,0.25
en_XX_zero_es_XX,3.3441946506500244,15.2241,3.4148,11.099,11.3094,60.0687,65.5353,62.3609,183.2124,8179.418,0.575,0.072
en_XX_zero_ru_RU,3.0184178352355957,14.7671,4.8144,11.7099,12.0847,66.0211,67.7365,66.6592,111.8131,10451.1957,0.734,0.092
en_XX_tuned_es_XX_10,3.0497100353240967,16.6891,3.9691,12.0263,12.2895,60.1723,65.7846,62.5366,190.6137,8317.5432,0.566,0.071
en_XX_tuned_es_XX_100,2.833320140838623,18.7684,4.8596,13.3734,13.695,60.5403,66.4616,63.0436,189.2844,8300.3755,0.567,0.071
en_XX_tuned_es_XX_1000,2.4734556674957275,28.6396,8.2096,19.8949,20.4734,69.5247,71.088,70.2138,66.6086,3060.2787,1.537,0.192
en_XX_tuned_es_XX_10000,2.2289059162139893,30.6806,9.8178,21.8464,22.3784,70.966,72.0689,71.4195,60.0162,2594.7535,1.813,0.227
en_XX_tuned_ru_RU_10,2.9136695861816406,16.3775,5.3749,12.8953,13.3213,66.3514,68.4289,67.1579,114.0143,10759.0437,0.713,0.089
en_XX_tuned_ru_RU_100,2.77362060546875,15.2872,5.3351,11.9283,12.3664,63.1001,67.2281,64.8323,164.2444,13098.4071,0.586,0.073
en_XX_tuned_ru_RU_1000,2.4090158939361572,24.9457,8.8316,18.6903,19.8058,69.2309,71.36,70.1925,87.0356,7052.4244,1.088,0.136
en_XX_tuned_ru_RU_10000,1.8901759386062622,26.1532,9.1098,18.9776,20.8226,68.5638,72.8331,70.5771,95.7588,5889.5005,1.303,0.163
en_XX_tuned_es_XX,2.1050796508789062,32.3191,11.1242,23.2899,23.7877,72.0122,72.3929,72.1166,55.425,2690.2449,1.749,0.219
en_XX_tuned_ru_RU,1.7172654867172241,31.8143,12.7577,24.6157,25.4621,73.8576,73.0558,73.3804,48.8688,3021.4888,2.539,0.318
multilingual_en_XX,1.713496208190918,37.0702,13.8527,27.9285,28.0291,75.9241,77.7254,76.7762,41.2917,3367.3853,3.41,0.426
multilingual_es_XX,2.0877487659454346,32.7317,11.2182,23.4525,24.0228,72.518,72.5805,72.4794,49.7387,2073.4645,2.269,0.284
multilingual_ru_RU,1.6836254596710205,31.378,12.2534,23.8504,25.1387,72.284,73.7438,72.9511,61.8406,3408.3783,2.251,0.282
