,test_loss,test_rouge1,test_rouge2,test_rougeL,test_rougeLsum,test_bert_score_precision,test_bert_score_recall,test_bert_score_f1,test_gen_len,test_runtime,test_samples_per_second,test_steps_per_second
en_XX,1.962792992591858,37.6079,14.4782,29.1694,29.2734,78.6784,76.7099,77.6428,27.2274,2506.7,4.581,0.573
es_XX,2.4696614742279053,31.4385,10.7399,23.1152,23.5599,74.2654,71.4551,72.7735,30.6524,1256.5587,3.744,0.468
ru_RU,2.0194029808044434,30.3743,12.0673,23.7127,24.5591,74.6681,71.7653,73.128,35.5478,2311.1824,3.32,0.415
en_XX_zero_es_XX,3.8672730922698975,16.5648,3.7067,12.7774,12.9719,70.7464,67.6011,69.0937,27.2247,1168.0397,4.027,0.503
en_XX_zero_ru_RU,3.3712308406829834,10.4626,3.5519,8.8142,9.0055,70.8971,66.329,68.495,29.9683,1984.2444,3.867,0.484
en_XX_tuned_es_XX_10,3.4274044036865234,22.8664,5.3177,16.8546,17.1775,71.1962,68.6558,69.8586,29.4679,1274.637,3.69,0.461
en_XX_tuned_es_XX_100,3.20115327835083,25.7648,6.1568,18.3278,18.7598,71.0525,69.542,70.2451,33.5991,1380.2628,3.408,0.426
en_XX_tuned_es_XX_1000,2.7847812175750732,29.1474,8.3688,20.62,21.0891,72.4113,70.8685,71.5847,34.3567,1338.2446,3.515,0.439
en_XX_tuned_es_XX_10000,2.511528730392456,31.4739,10.4365,22.9223,23.3876,73.8125,71.6575,72.6558,32.8773,1416.5808,3.321,0.415
en_XX_tuned_ru_RU_10,3.1482338905334473,18.1963,6.3762,14.8484,15.2557,72.7393,69.0031,70.7746,30.8085,2018.1758,3.802,0.476
en_XX_tuned_ru_RU_100,3.037383794784546,20.9733,7.5376,16.8651,17.3959,72.9016,70.2091,71.4837,34.2971,2255.8628,3.401,0.426
en_XX_tuned_ru_RU_1000,2.680715799331665,25.86,9.4175,20.1397,20.968,73.6085,70.9856,72.2253,35.9312,2310.0746,3.322,0.416
en_XX_tuned_ru_RU_10000,2.149000644683838,29.0562,10.4445,21.9128,23.2032,72.5483,72.2287,72.341,46.1761,2730.9411,2.81,0.352
en_XX_tuned_es_XX,2.379088878631592,32.3558,11.4309,23.9962,24.4061,74.7057,71.9363,73.2363,30.3393,1255.282,3.747,0.468
en_XX_tuned_ru_RU,1.948519229888916,32.2765,13.2737,25.4923,26.3907,75.6512,72.6555,74.0626,36.2591,2346.3019,3.27,0.409
multilingual_en_XX,1.957897663116455,37.7065,14.58,29.3508,29.4309,78.7101,76.777,77.6931,27.1862,2480.6725,4.629,0.579
multilingual_es_XX,2.364210844039917,32.315,11.3653,23.8016,24.2346,74.6734,71.8838,73.1944,30.6839,1265.6917,3.717,0.465
multilingual_ru_RU,1.9379383325576782,32.3577,13.2515,25.4386,26.3708,75.5364,72.6496,74.0053,36.2983,2321.1926,3.306,0.414
